External ID,Document Number,Transaction Number,Maximum of Linked Invoice,Type,Date,Period,Terms,Maximum of Due Date/Receive By,Vendor Category,Vendor Name,Vendor Number,Company Name,Vendor VAT Registration Number,Vendor Billing Address,Vendor Billing Country,Bill to City,Bill to State,Bill to Country,Bill to Zip,Source System,Source System Identifier,City,State/Province,Country,Zip,Currency,Memo (Main),Maximum of GMAX Tax Code,Maximum of NetSuite Tax Item,Maximum of Coupa Tax Code,Maximum of External System Tax Code,Maximum of Tax Code (Consolidated),FOP Type,Sum of Asset,Sum of Accounts Payable,Sum of Other Liabilities,Sum of Income,Sum of Expense,Sum of VAT
00382201565-1289083-001-001-VC,00382201565-1289083-001-001,BC-DK0125150,Invoice #IN-DK4695601,Bill Credit,3/1/2020,Mar-20,- None -,,GMAX,BSP - DK,,BSP - DK,- None -,BSP - DK Denmark,Denmark,- None -,- None -,Denmark,- None -,GMAX,- None -,Copenhagen K,- None -,Denmark,DK-1366,Danish Krone,- None -,,DK-Z,,,DK-Z,- None -,,19.29,,-19.29,,0
00382201739-1289090-004-001-VC,00382201739-1289090-004-001,BC-DK0125152,Invoice #IN-DK4695750,Bill Credit,3/1/2020,Mar-20,- None -,,GMAX,BSP - DK,,BSP - DK,- None -,BSP - DK Denmark,Denmark,- None -,- None -,Denmark,- None -,GMAX,- None -,Copenhagen K,- None -,Denmark,DK-1366,Danish Krone,- None -,,DK-Z,,,DK-Z,- None -,,30.98,,-30.98,,0
00382202937-1289098-001-001-VC,00382202937-1289098-001-001,BC-DK0125151,Invoice #IN-DK4695760,Bill Credit,3/1/2020,Mar-20,- None -,,GMAX,BSP - DK,,BSP - DK,- None -,BSP - DK Denmark,Denmark,- None -,- None -,Denmark,- None -,GMAX,- None -,Copenhagen K,- None -,Denmark,DK-1366,Danish Krone,- None -,,DK-Z,,,DK-Z,- None -,,166.06,,-166.06,,0
00382203495-1289101-001-001-VB,00382203495-1289101-001-001,BL-DK0406277,Invoice #IN-DK4695763,Bill,3/1/2020,Mar-20,- None -,3/1/2020,GMAX,BSP - DK,,BSP - DK,- None -,BSP - DK Denmark,Denmark,- None -,- None -,Denmark,- None -,GMAX,- None -,Copenhagen K,- None -,Denmark,DK-1366,Danish Krone,- None -,,DK-Z,,,DK-Z,- None -,,-3253,,3253,,0
00382205407-1289141-001-001-VC,00382205407-1289141-001-001,BC-DK0125153,Invoice #IN-DK4695902,Bill Credit,3/1/2020,Mar-20,- None -,,GMAX,BSP - DK,,BSP - DK,- None -,BSP - DK Denmark,Denmark,- None -,- None -,Denmark,- None -,GMAX,- None -,Copenhagen K,- None -,Denmark,DK-1366,Danish Krone,- None -,,DK-Z,,,DK-Z,- None -,,294,,-294,,0
00382205864-1289155-001-001-VC,00382205864-1289155-001-001,BC-DK0125154,Invoice #IN-DK4695946,Bill Credit,3/1/2020,Mar-20,- None -,,GMAX,BSP - DK,,BSP - DK,- None -,BSP - DK Denmark,Denmark,- None -,- None -,Denmark,- None -,GMAX,- None -,Copenhagen K,- None -,Denmark,DK-1366,Danish Krone,- None -,,DK-Z,,,DK-Z,- None -,,114.97,,-114.97,,0
- None -,808277,BL-DK0406448, ,Bill,3/1/2020,Mar-20,Net 10,3/11/2020,Coupa,DK103353,,RENTOKIL INITIAL A/S - DK,68405017,RENTOKIL INITIAL A/S - DK PAUL BERGSOES VEJ 22 GLOSTRUP  2600 Denmark,Denmark,GLOSTRUP,- None -,Denmark,2600,Procurement,- None -,Copenhagen K,- None -,Denmark,DK-1366,Danish Krone,"Cleaning, supplies, Copenhagen, 2020",,DK-S,,,DK-S,- None -,,-2692.93,,,2154.34,538.59
- None -,220814,218639, ,Currency Revaluation,3/1/2020,Mar-20,- None -,,- None -,- None -,,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,Copenhagen K,- None -,Denmark,DK-1366,Danish Krone,- None -,,,,,,- None -,,399.14,,,-399.14,
- None -,220815,218640, ,Currency Revaluation,3/1/2020,Mar-20,- None -,,- None -,- None -,,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,Copenhagen K,- None -,Denmark,DK-1366,Danish Krone,- None -,,,,,,- None -,,,,,,
- None -,221683,219508, ,Currency Revaluation,3/1/2020,Mar-20,- None -,,- None -,- None -,,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,Copenhagen K,- None -,Denmark,DK-1366,Danish Krone,Reval_Feb'20_030820,,,,,,- None -,1039.38,35.61,,,-1074.99,
